#t   #theta   #omega   #xddot    #yddot
4.01 0.910265 7.03041 -11.6199 -9.79774
4.02 0.979953 6.90618 -12.2204 -9.79774
4.03 1.04837 6.77606 -12.7522 -9.79774
4.04 1.11546 6.64075 -13.2157 -9.79774
4.05 1.18117 6.50096 -13.6121 -9.79774
4.06 1.24546 6.35739 -13.9431 -9.79774
4.07 1.30831 6.2107 -14.211 -9.79774
4.08 1.36967 6.06154 -14.4184 -9.79774
4.09 1.42953 5.91052 -14.5684 -9.79774
4.1 1.48788 5.75822 -14.6644 -9.79774
4.11 1.54469 5.60518 -14.71 -9.79774
4.12 1.59998 5.45192 -14.7087 -9.79774
4.13 1.65373 5.2989 -14.6644 -9.79774
4.14 1.70596 5.14655 -14.5808 -9.79774
4.15 1.75667 4.99526 -14.4615 -9.79774
4.16 1.80587 4.84538 -14.3103 -9.79774
4.17 1.85358 4.69722 -14.1306 -9.79774
4.18 1.89982 4.55108 -13.9257 -9.79774
4.19 1.94461 4.40718 -13.6988 -9.79774
4.2 1.98797 4.26575 -13.453 -9.79774
4.21 2.02993 4.12697 -13.191 -9.79774
4.22 2.07052 3.99099 -12.9156 -9.79774
4.23 2.10976 3.85793 -12.629 -9.79774
4.24 2.14769 3.72791 -12.3335 -9.79774
4.25 2.18433 3.60101 -12.0312 -9.79774
4.26 2.21972 3.47728 -11.724 -9.79774
4.27 2.25389 3.35677 -11.4133 -9.79774
4.28 2.28687 3.23951 -11.1009 -9.79774
4.29 2.31869 3.1255 -10.7879 -9.79774
4.3 2.34939 3.01476 -10.4757 -9.79774
4.31 2.37899 2.90725 -10.1652 -9.79774
4.32 2.40754 2.80297 -9.85731 -9.79774
4.33 2.43506 2.70188 -9.55293 -9.79774
4.34 2.46159 2.60394 -9.25271 -9.79774
4.35 2.48715 2.5091 -8.95723 -9.79774
4.36 2.51178 2.41731 -8.667 -9.79774
4.37 2.53551 2.32852 -8.38243 -9.79774
4.38 2.55836 2.24266 -8.10388 -9.79774
4.39 2.58037 2.15967 -7.83161 -9.79774
4.4 2.60157 2.07948 -7.56585 -9.79774
4.41 2.62197 2.00202 -7.30675 -9.79774
4.42 2.64162 1.92723 -7.05445 -9.79774
4.43 2.66052 1.85503 -6.80902 -9.79774
4.44 2.67872 1.78535 -6.57049 -9.79774
4.45 2.69624 1.71812 -6.33887 -9.79774
4.46 2.71309 1.65327 -6.11416 -9.79774
4.47 2.72931 1.59072 -5.89629 -9.79774
4.48 2.74492 1.5304 -5.68521 -9.79774
4.49 2.75993 1.47225 -5.48083 -9.79774
4.5 2.77437 1.4162 -5.28307 -9.79774
4.51 2.78826 1.36217 -5.0918 -9.79774
4.52 2.80162 1.3101 -4.9069 -9.79774
4.53 2.81447 1.25992 -4.72826 -9.79774
4.54 2.82682 1.21157 -4.55573 -9.79774
