#t   #theta   #omega   #xddot    #yddot
4.29 2.31869 3.1255 -10.0013 -9.11393
4.3 2.34939 3.01476 -9.71181 -9.16153
4.31 2.37899 2.90725 -9.42395 -9.20609
4.32 2.40754 2.80297 -9.13855 -9.24777
4.33 2.43506 2.70188 -8.85636 -9.28673
4.34 2.46159 2.60394 -8.57803 -9.3231
4.35 2.48715 2.5091 -8.3041 -9.35705
4.36 2.51178 2.41731 -8.03503 -9.3887
4.37 2.53551 2.32852 -7.77121 -9.4182
4.38 2.55836 2.24266 -7.51297 -9.44567
4.39 2.58037 2.15967 -7.26055 -9.47125
4.4 2.60157 2.07948 -7.01417 -9.49504
4.41 2.62197 2.00202 -6.77397 -9.51717
4.42 2.64162 1.92723 -6.54007 -9.53775
4.43 2.66052 1.85503 -6.31253 -9.55686
4.44 2.67872 1.78535 -6.09139 -9.57462
4.45 2.69624 1.71812 -5.87666 -9.5911
4.46 2.71309 1.65327 -5.66833 -9.60641
4.47 2.72931 1.59072 -5.46635 -9.62061
4.48 2.74492 1.5304 -5.27066 -9.63379
4.49 2.75993 1.47225 -5.08119 -9.64601
4.5 2.77437 1.4162 -4.89784 -9.65735
4.51 2.78826 1.36217 -4.72052 -9.66786
4.52 2.80162 1.3101 -4.54911 -9.6776
4.53 2.81447 1.25992 -4.38349 -9.68662
4.54 2.82682 1.21157 -4.22354 -9.69499
4.55 2.8387 1.16499 -4.06912 -9.70274
4.56 2.85013 1.12011 -3.92011 -9.70992
4.57 2.86111 1.07687 -3.77635 -9.71656
4.58 2.87167 1.03523 -3.63773 -9.72272
4.59 2.88182 0.995109 -3.50408 -9.72842
4.6 2.89158 0.956465 -3.37528 -9.7337
4.61 2.90096 0.919242 -3.25119 -9.73859
4.62 2.90997 0.883388 -3.13166 -9.74311
4.63 2.91863 0.848851 -3.01655 -9.7473
4.64 2.92695 0.815584 -2.90574 -9.75118
4.65 2.93494 0.783538 -2.79909 -9.75476
4.66 2.94262 0.752668 -2.69647 -9.75808
4.67 2.95 0.722929 -2.59774 -9.76116
4.68 2.95709 0.694277 -2.50279 -9.764
4.69 2.96389 0.666672 -2.41149 -9.76663
4.7 2.97042 0.640073 -2.32372 -9.76906
4.71 2.97669 0.614441 -2.23937 -9.77131
4.72 2.98271 0.589738 -2.15831 -9.77339
4.73 2.98849 0.565928 -2.08045 -9.77532
4.74 2.99404 0.542975 -2.00568 -9.7771
4.75 2.99935 0.520845 -1.93388 -9.77875
4.76 3.00446 0.499506 -1.86497 -9.78027
4.77 3.00935 0.478925 -1.79885 -9.78168
4.78 3.01404 0.459072 -1.73541 -9.78299
4.79 3.01853 0.439917 -1.67458 -9.78419
4.8 3.02284 0.421432 -1.61626 -9.78531
4.81 3.02696 0.403588 -1.56038 -9.78634
4.82 3.03091 0.386358 -1.50685 -9.78729
4.83 3.03469 0.369718 -1.45558 -9.78817
4.84 3.03831 0.35364 -1.40652 -9.78899
4.85 3.04177 0.338102 -1.35959 -9.78974
4.86 3.04507 0.32308 -1.31471 -9.79043
4.87 3.04823 0.308551 -1.27183 -9.79108
4.88 3.05124 0.294492 -1.23087 -9.79167
4.89 3.05412 0.280884 -1.19179 -9.79222
4.9 3.05686 0.267704 -1.15451 -9.79272
4.91 3.05948 0.254933 -1.11899 -9.79319
4.92 3.06196 0.242552 -1.08517 -9.79362
4.93 3.06433 0.230541 -1.053 -9.79402
4.94 3.06657 0.218883 -1.02244 -9.79439
4.95 3.06871 0.207559 -0.993438 -9.79472
4.96 3.07073 0.196553 -0.965948 -9.79504
4.97 3.07264 0.185847 -0.939932 -9.79532
4.98 3.07444 0.175425 -0.915349 -9.79559
4.99 3.07615 0.165272 -0.892164 -9.79583
5 3.07775 0.155371 -0.870342 -9.79605
5.01 3.07926 0.145709 -0.849848 -9.79625
5.02 3.08067 0.136269 -0.830654 -9.79644
5.03 3.08198 0.127038 -0.812728 -9.79661
5.04 3.08321 0.118001 -0.796045 -9.79677
5.05 3.08434 0.109144 -0.78058 -9.79691
5.06 3.08539 0.100455 -0.766308 -9.79703
5.07 3.08635 0.0919196 -0.753208 -9.79715
5.08 3.08723 0.0835247 -0.74126 -9.79725
5.09 3.08802 0.0752578 -0.730447 -9.79734
5.1 3.08873 0.067106 -0.720751 -9.79742
5.11 3.08937 0.059057 -0.712159 -9.7975
5.12 3.08992 0.0510984 -0.704656 -9.79756
5.13 3.09039 0.043218 -0.698232 -9.79761
5.14 3.09078 0.0354038 -0.692877 -9.79765
5.15 3.0911 0.0276437 -0.688582 -9.79769
5.16 3.09133 0.019926 -0.685342 -9.79771
5.17 3.09149 0.0122389 -0.683151 -9.79773
5.18 3.09158 0.00457042 -0.682006 -9.79774
5.19 3.09159 -0.00309103 -0.681905 -9.79774
5.2 3.09152 -0.0107572 -0.682849 -9.79773
5.21 3.09137 -0.0184399 -0.684838 -9.79772
